PIN,SBL,OBJECTID,Shape__Area,Shape__Length
102.00-2-17,10200000020170000000,243,278546.2109375,2440.45461132856
102.00-2-18.1,10200000020180100000,244,12339.953125,585.060407819944
102.00-2-18.2,10200000020180200000,245,21893.5078125,772.233480743393
102.00-2-19,10200000020190000000,246,336767.1875,3093.14645932869
102.00-2-2,10200000020020000000,247,374612.046875,2473.15175326576
102.00-2-20.1,10200000020200100000,248,492313.875,3500.28643890408
102.00-2-20.2,10200000020200200000,249,27023.06640625,912.91589395138
102.00-2-4,10200000020040000000,250,267647.5703125,2148.42689308874
102.00-2-5.1,10200000020050100000,251,181360.5859375,2258.82871584317
102.00-2-5.2,10200000020050200000,252,21698.59375,634.5442511031
102.00-2-6,10200000020060000000,253,634839.74609375,6400.5182974908
102.00-2-7,10200000020070000000,254,58013.828125,1457.68627993861
102.00-2-8,10200000020080000000,255,3043.77734375,222.04039741815
102.00-2-9.1,10200000020090100000,256,7204.42578125,437.301929865966
102.00-2-9.2,10200000020090200000,257,2918.421875,262.737178396773
102.16-1-1,10201600010010000000,258,19147.46484375,772.086966599851
102.16-1-10,10201600010100000000,259,7219.96875,361.837170225579
102.16-1-11,10201600010110000000,260,8504.23828125,375.17310835693
102.16-1-13,10201600010130000000,261,3539.24609375,279.572082302542
102.16-1-14,10201600010140000000,262,2800.62890625,262.25458003759
102.16-1-15,10201600010150000000,263,536.18359375,93.1429731512849
102.16-1-16,10201600010160000000,264,5759.20703125,304.975704986936
102.16-1-17,10201600010170000000,265,2360.66796875,222.492047890903
102.16-1-18,10201600010180000000,266,3140.00390625,226.230677599772
102.16-1-19,10201600010190000000,267,2078.4765625,192.431347482027
102.16-1-2,10201600010020000000,268,1831.03515625,177.076406432115
102.16-1-20,10201600010200000000,269,609.40234375,98.8884938577632
102.16-1-21,10201600010210000000,270,1505.15625,171.449346227271
102.16-1-22,10201600010220000000,271,3799.23046875,268.925346215212
102.16-1-23,10201600010230000000,272,28149.8359375,762.85760843705
102.16-1-24.1,10201600010240100000,273,8813.5390625,399.322823531054
102.16-1-24.2,10201600010240200000,274,56384.9375,955.062099571133
102.16-1-25.1,10201600010250100000,275,6730.3515625,338.008198208415
102.16-1-25.2,10201600010250200000,276,3577.3203125,270.087693913128
102.16-1-26,10201600010260000000,277,9004.53515625,387.097822112004
102.16-1-27,10201600010270000000,278,10409.36328125,492.960109683705
102.16-1-3,10201600010030000000,279,2046.1328125,185.905203498417
102.16-1-4.1,10201600010040100000,280,3908.8671875,332.509828572806
102.16-1-4.2,10201600010040200000,281,3152.33984375,307.219646075508
102.16-1-5.2,10201600010050200000,282,1516.8125,156.007435320083
102.16-1-6,10201600010060000000,283,1298.68359375,151.166177929938
102.16-1-7,10201600010070000000,284,2638.0546875,206.392555546348
102.16-1-8,10201600010080000000,285,3998.81640625,254.944857856048
102.16-1-9,10201600010090000000,286,810.66796875,132.762997605636
103.00-1-1,10300000010010000000,287,81579.69921875,1363.51976704854
103.00-1-10,10300000010100000000,288,1019998.55859375,4241.22328124543
103.00-1-12,10300000010120000000,289,846242.62890625,6143.48296864005
103.00-1-13,10300000010130000000,290,703426.92578125,3972.66571186546
103.00-1-14,10300000010140000000,291,769169.18359375,4137.83601522203
103.00-1-15,10300000010150000000,292,385374.05859375,2567.3091282792
103.00-1-16,10300000010160000000,293,361102.30859375,2484.34806582689
103.00-1-17,10300000010170000000,294,738096.98828125,5282.47894702645
103.00-1-18,10300000010180000000,295,353751.74609375,3991.65170076425
103.00-1-19,10300000010190000000,296,1561309.60546875,8635.1678767504
103.00-1-2.1,10300000010020100000,297,56066.8828125,1079.60182873516
103.00-1-2.2,10300000010020200000,298,14805.83203125,616.381540572043
103.00-1-22,10300000010220000000,299,226244.44921875,2275.27665699554
103.00-1-23,10300000010230000000,300,448525.9375,2953.19710504185
103.00-1-24,10300000010240000000,301,450287.5625,3085.37232327188
103.00-1-25.1,10300000010250100000,302,214717.1640625,2286.53347190054
103.00-1-26.1,10300000010260100000,303,14813.3125,492.692364983822
103.00-1-26.2,10300000010260200000,304,103003.3046875,1711.64189188165
103.00-1-27,10300000010270000000,305,6180.26953125,392.949526380599
103.00-1-3,10300000010030000000,306,73679.43359375,1129.17395450217
103.00-1-4,10300000010040000000,307,280925.05078125,2428.29702258114
103.00-1-5.112,10300000010051120000,308,108068.16015625,1367.05847246383
103.00-1-5.2,10300000010050200000,309,31527.50390625,871.666669629408
103.00-1-6.111,10300000010061110000,310,683083.828125,5283.67054005374
103.00-1-6.112,10300000010061120000,311,153970.08203125,1631.06286308629
103.00-1-6.12,10300000010060120000,312,45050.3515625,951.004507532914
103.00-1-6.2,10300000010060200000,313,7985.01171875,362.26209797177
103.00-1-6.3,10300000010060300000,314,7911.74609375,363.844374046246
103.00-1-7,10300000010070000000,315,8834.8828125,377.534152320158
103.00-1-8,10300000010080000000,316,242038.1796875,2476.90381556787
103.00-1-9.1,10300000010090100000,317,375458.6484375,3193.61459368805
103.00-1-9.2,10300000010090200000,318,494439.22265625,4294.35220010193
103.00-2-1,10300000020010000000,319,59590.6953125,1252.45758409986
103.00-2-11,10300000020110000000,320,24915.1484375,876.951876167998
103.00-2-12.1,10300000020120100000,321,21901.0078125,858.289712188219
103.00-2-12.2,10300000020120200000,322,18444.7578125,825.720784677593
103.00-2-13.2,10300000020130200000,323,49393.16796875,981.38788442238
103.00-2-14,10300000020140000000,324,94948.484375,1845.21504162859
103.00-2-15,10300000020150000000,325,35928.30078125,797.615573263754
103.00-2-16,10300000020160000000,326,38454.34765625,834.499730019573
103.00-2-17.1,10300000020170100000,327,9129.98828125,387.007829348071
103.00-2-17.2,10300000020170200000,328,8799.23046875,379.067552934298
103.00-2-18,10300000020180000000,329,669498.8125,3736.32162799155
103.00-2-19,10300000020190000000,330,371297.19140625,2440.774874579
103.00-2-2.1,10300000020020100000,331,822581.39453125,5031.64762898964
103.00-2-2.2,10300000020020200000,332,567894.61328125,5069.87833102198
103.00-2-20.1,10300000020200010000,333,375275.50390625,3108.47621874392
103.00-2-20.2,10300000020200020000,334,804083.296875,4433.59811279886
103.00-2-21,10300000020210000000,335,823244.96875,3879.28901889845
103.00-2-22,10300000020220000000,336,595102.98828125,5385.06378571337
103.00-2-24.21,10300000020240210000,337,540293.8984375,3528.11074979126
103.00-2-24.22,10300000020240220000,338,17011.3984375,535.906313616011
103.00-2-24.24,10300000020240240000,339,48206.32421875,1005.95390945309
103.00-2-24.3,10300000020240300000,340,36816.5078125,790.749583392485
103.00-2-25,10300000020250000000,341,650366.3125,4180.93089673113
